time,open,high,low,close,EMA 9,EMA 21,EMA 50,Selected long,Selected short,V4 long candidate,V4 short candidate,V2 candidate rejected by V3,CB bounded net,CB confidence,CB available votes,CB ATR %,CB structure pass,CB V2 candidate,CB stop-distance pass,CB extension pass,CB direct-risk pass,CB kill switch,CB V4 candidate,CB V4 blocked open position
1679405400,381.28448277,383.36732268,379.69115822,382.88740565,377.5047196217462,379.1297875269567,379.89836943102455,0,0,0,0,0,4,0.5,8,1.6328840200779755,0,0,1,1,1,0,0,0
1679491800,382.71463552,386.32361159,376.32214067,376.36053403,377.27588250339693,378.87803720905157,379.75963078784713,0,0,0,0,0,-1,0.125,8,1.732359894862217,1,0,1,1,1,0,0,0
1679578200,379.22083953,383.25214259,374.67122608,377.37795813,377.2962976287175,378.74166638368325,379.66623186008843,0,0,0,0,0,1,0.125,8,1.7666991193589472,1,0,1,1,1,0,0,0
1679664600,376.10233867,379.94071508,373.75938372,379.85433001,377.807904104974,378.8428176224393,379.6736082581242,0,0,0,0,0,5,0.625,8,1.7460464228812373,0,0,1,1,1,0,0,0
1679923800,382.12913674,382.89700399,379.67196154,380.56460722,378.3592447279792,378.9993439494903,379.708549393884,0,0,0,0,0,0,0,8,1.6788339706306075,1,0,1,1,1,0,0,0
1680010200,379.8735267,380.56460722,377.87707185,379.7103549,378.6294667623834,379.06398130862755,379.7086201980454,0,0,0,0,0,-1,0.125,8,1.6129805454563175,1,0,1,1,1,0,0,0
1680096600,383.86163722,385.46935928,382.66664382,385.22940076,379.9494535619067,379.62447398602507,379.92512139655344,1,0,1,0,0,5,0.625,8,1.5830921265655657,1,1,1,1,1,0,1,0
1680183000,387.85934609,388.10890295,385.62293273,387.48501081,381.45656501152536,380.33906824275005,380.22158764806113,0,0,0,0,0,4,0.5,8,1.5145373731022527,1,0,1,1,1,0,0,0
1680269400,388.40645151,393.24401518,388.30086976,392.94646662,383.7545453332203,381.4851953679546,380.72060250970577,0,0,0,0,1,5,0.625,8,1.4914949397979107,1,1,1,0,0,0,0,0
1680528600,392.42815623,394.84693806,392.03462426,394.44380776,385.8923978185762,382.6632510399587,381.258767421482,0,0,0,0,0,1,0.125,8,1.4306294603138467,1,0,1,0,0,0,0,0
1680615000,395.08689658,395.3748468,390.88282339,392.25538609,387.164995472861,383.5352633172352,381.690007369267,0,0,0,0,0,-1,0.125,8,1.4176515626464694,1,0,1,0,0,0,0,0
1680701400,391.52591221,392.28418112,389.57744906,391.22836365,387.9776691082888,384.2346360747593,382.0640605567467,0,0,0,0,0,0,0,8,1.3692646210955661,1,0,1,1,1,0,0,0
1680787800,390.43170138,393.03285168,389.38356258,392.75449981,388.93303524863103,385.0091691415994,382.483293468639,0,0,0,0,0,2,0.25,8,1.3328875118901442,1,0,1,1,1,0,0,0
1681133400,390.27812793,393.23441684,389.66383413,393.15763011,389.7779542209048,385.7499383205449,382.9018949055551,0,0,0,0,0,1,0.125,8,1.3012822533177162,1,0,1,1,1,0,0,0
1681219800,393.78152225,394.66456959,392.49534461,393.26321186,390.47500574872385,386.4329631877681,383.30822106063135,0,0,0,0,0,0,0,8,1.2474088417705922,1,0,1,1,1,0,0,0
1681306200,395.32685509,395.61480531,391.0747902,391.66028898,390.71206239497906,386.90817462342557,383.6357531359007,0,0,0,0,0,-1,0.125,8,1.245846720128512,1,0,1,1,1,0,0,0
1681392600,392.74490147,397.21772819,391.60481057,396.86258959,391.94216783398326,387.8131214385687,384.1544526046889,0,0,0,0,0,3,0.375,8,1.2427159688998448,1,0,1,0,0,0,0,0
1681479000,396.22909911,398.41752077,393.58955544,395.89315719,392.7323657051866,388.54767014324426,384.61479396097565,0,0,0,0,0,2,0.25,8,1.2438842608780942,1,0,1,1,1,0,0,0
