time,open,high,low,close,Session VWAP,EMA 9,EMA 20,Long Fast-Alpha Signal,Short Fast-Alpha Signal
1779977700,751.07552484,751.52436879,750.20775986,751.07552484,749.0297085264875,749.2576680321889,748.7957009603905,0,0
1779978000,751.09547346,751.26503673,750.00827366,750.43716899,749.19339082873,749.4935682237511,748.9520312489248,1,0
1779978300,750.41722037,750.84611571,750.34640277,750.79624416,749.2475240374977,749.7541034110009,749.127670573789,0,0
1779978600,750.8361414,751.04560191,749.9484278,749.97835073,749.2843598426418,749.7989528748006,749.2086877315234,0,0
1779978900,749.96837642,750.31747727,749.79881315,749.99829935,749.3031476277674,749.8388221698406,749.283888838045,0,0
1779979200,749.98832504,750.56683503,749.93845349,750.5468864,749.3439503420456,749.9804350158724,749.4041743201359,0,0
1779979500,750.5468864,750.87603864,749.87860763,750.41722037,749.4019908286239,750.067792086698,749.5006548963134,0,0
1779979800,750.41722037,751.01567898,750.41722037,750.88601295,749.4486441076147,750.2314362593584,749.6325937585693,0,0
1779980100,750.86606433,751.00570467,750.52693778,750.94585881,749.4901080186852,750.3743207694866,749.7576666206104,0,0
1779980400,750.9358845,751.79367517,750.84611571,751.79367517,749.5847972875038,750.6581916495893,749.9515721967427,0,0
1779980700,751.80364948,751.99316137,751.50442017,751.65403483,749.6518587455646,750.8573602856715,750.1137114951482,0,0
1779981000,751.64406052,751.75377793,751.36477983,751.36477983,749.7130167575398,750.9588441945372,750.2328608603722,0,0
1779981300,751.38472845,751.61413759,751.19521656,751.48447155,749.7334244736239,751.0639696656298,750.352061878432,0,0
1779981600,751.50442017,751.8235981,751.47449724,751.76375224,749.7714280067414,751.2039261805038,750.4865085795337,0,0
1779981900,751.77372655,752.20262188,751.71388069,752.00313568,749.8354189726111,751.363768080403,750.6309492557687,0,0
1779982200,752.01310999,752.16272464,751.84853387,752.09290447,749.8789393190475,751.5095953583224,750.7701830856954,0,0
1779982500,752.07794301,752.31233929,751.9522667,752.19264757,749.9401828515788,751.6462058006579,750.9056558937244,0,0
1779982800,752.19264757,752.21259619,751.96822559,752.11285309,749.9818016862987,751.7395352585263,751.0206270552745,0,0
1779983100,752.08293016,752.2225705,751.93331551,751.96822559,750.0128050637171,751.785273324821,751.1108745347722,0,0
1779983400,751.99316137,752.31233929,751.96323844,752.11285309,750.0417152465992,751.8507892778568,751.2063010638415,0,0
1779983700,752.09290447,752.35223653,752.01310999,752.15275033,750.0726634434853,751.9111814882855,751.2964390891899,0,0
1779984000,752.14277602,752.15275033,751.75377793,752.0230843,750.0989084933857,751.9335620506284,751.3656433949814,0,0
1779984300,752.00313568,752.19264757,751.98318706,752.15275033,750.1159486756655,751.9773997065028,751.4406059602212,0,0
1779984600,752.17269895,752.29239067,752.05300723,752.23254481,750.147052493431,752.0284287272023,751.5160287078191,0,0
1779984900,752.23254481,752.60159429,752.08193273,752.55172273,750.2164792426665,752.1330875277619,751.6146662337411,0,0
1779985200,752.5507253,752.9107979,752.33228791,752.72128601,750.2847486990295,752.2507272242095,751.7200585933848,0,0
1779985500,752.73126032,752.83100342,752.4220567,752.43203101,750.3256991865144,752.2869879813676,751.7878654902053,0,0
1779985800,752.46195394,752.50185118,752.28241636,752.3223136,750.35954197368,752.2940531050941,751.8387653101857,0,0
1779986100,752.33228791,752.40210808,752.1228274,752.26246774,750.3785696867847,752.2877360320753,751.879117922549,0,0
1779986400,752.26246774,752.55172273,752.25249343,752.49187687,750.403716188158,752.3285641996603,751.9374759175444,0,0
1779986700,752.49187687,752.63151722,752.35223653,752.37218515,750.439071898451,752.3372883897282,751.9788767968258,0,0
1779987000,752.40210808,752.49187687,752.31233929,752.38215946,750.470472752322,752.3462626037825,752.0172846695091,0,0
1779987300,752.39213377,752.84097773,752.38215946,752.78113187,750.5078147144866,752.433236457026,752.0900320219367,0,0
1779987600,752.79110618,752.92974909,752.69136308,752.78113187,750.5374603885205,752.5028155396209,752.1558510550856,0,0
1779987900,752.79609333,752.87090066,752.50185118,752.53177411,750.5598578613769,752.5086072536967,752.1916532507917,0,0
1779988200,752.51182549,752.58164567,752.33228791,752.34226222,750.5781454024554,752.4753382469573,752.2059969621448,0,0
1779988500,752.36221084,752.43203101,752.18267326,752.24251912,750.5938351314369,752.4287744215659,752.209475262893,0,0
1779988800,752.2225705,752.59161998,752.2225705,752.54174842,750.6224569564191,752.4513692212527,752.2411203254746,0,0
1779989100,752.53177411,752.58164567,752.30236498,752.31233929,750.6383136747502,752.4235632350021,752.2479030840009,0,0
1779989400,752.34226222,752.53177411,752.21259619,752.25249343,750.6687632205277,752.3893492740017,752.2483402598103,0,0
1779989700,752.25249343,752.5217998,752.16272464,752.5217998,750.6838970991677,752.4158393792013,752.2743840255426,0,0
1779990000,752.5217998,752.62154291,752.43203101,752.54174842,750.7011778540923,752.441021187361,752.2998473012052,0,0
1779990300,752.55172273,752.96066945,752.5217998,752.85095204,750.7485481331508,752.5230073578888,752.3523334668047,0,0
1779990600,752.86092635,752.98061807,752.80108049,752.92077221,750.7873939668124,752.602560328311,752.4064704899662,0,0
1779990900,752.90980047,752.90980047,752.69136308,752.73126032,750.8164390426084,752.6283003266489,752.4374028547313,0,0
1779991200,752.75120894,752.96066945,752.65146584,752.96066945,750.866630900086,752.694774151319,752.4872377685664,0,0
1779991500,752.94072083,752.94072083,752.76118325,752.77115756,750.891257151775,752.7100508330552,752.514277748703,0,0
1779991800,752.77115756,752.78113187,752.54174842,752.57167136,750.9070039367824,752.6823749384441,752.5197438069217,0,0
1779992100,752.58164567,752.92077221,752.47192825,752.68138877,750.9457630529853,752.6821777047553,752.5351385653101,0,0
1779992400,752.70133739,752.89084928,752.59161998,752.85095204,750.9719850009943,752.7159325718043,752.5652160390902,0,0
1779992700,752.8110548,752.9107979,752.76118325,752.83100342,750.9920265084722,752.7389467414434,752.5905291229864,0,0
1779993000,752.82102911,752.82102911,752.54174842,752.57167136,751.0162690086156,752.7054916651548,752.5887331455591,0,0
1779993300,752.55172273,752.60159429,752.35223653,752.41208239,751.0459053815325,752.6468098101238,752.5719092640772,0,0
1779993600,752.41208239,752.58164567,752.3223136,752.44200532,751.060622498644,752.6058489120991,752.5595374598794,0,0
1779993900,752.41706955,752.48190256,752.25249343,752.33228791,751.0704263927393,752.5511367116793,752.5378946456052,0,0
1779994200,752.3223136,752.59161998,752.25249343,752.53177411,751.0843474246436,752.5472641913434,752.5373117374523,0,0
1779994500,752.54174842,752.63151722,752.28241636,752.30236498,751.1120127669243,752.4982843490748,752.5149358557902,0,0
